theta_deg,initial_intensity,mrev_intensity,mrev_norm_intensity,mrevGss_intensity,mrevGss_norm_intensity,pfpd_intensity,pfpd_norm_intensity,fivePps_intensity,fivePps_norm_intensity,spgd_intensity,spgd_norm_intensity,hillClimb_intensity,hillClimb_norm_intensity
-3.01333333333333,57.1964173256084,27.6203882233552,0.00198891929945766,79.7993828795015,0.00702800883526303,33.4531338080907,0.00250232415099456,14.3213484974752,0.000932203175117564,35.7755926970139,0.00298389801955087,33.8494461458565,0.00256548350289342
-3,48.5642768996588,18.7730654839479,0.00135183155099297,76.8025813806649,0.00676407762863758,34.8741408859206,0.0026086167437898,13.1982142313991,0.000859096279555037,38.4703712468451,0.0032086586390623,32.1586883412934,0.00243733927163172
-2.98666666666667,38.0071063889412,11.0794726812842,0.000797822856993249,73.5962267763217,0.00648169087732226,34.612880008252,0.0025890741978612,11.3734759822647,0.000740320677529749,38.2705577907305,0.00319199300388948,29.5065402956132,0.00223633030891176
-2.97333333333333,26.3633541932299,5.20978659934046,0.000375152044558242,69.972709893467,0.00616256424064285,32.722496904382,0.00244767186101042,9.17984486694565,0.000597533153638574,35.3235238499261,0.00294619277874745,26.246508824902,0.00198924925118974
-2.96,15.2008385916856,1.53327127038389,0.000110409484338524,65.7256263738158,0.00578851948712288,29.440084144706,0.00220214446829472,6.95930733159661,0.000452994240889887,30.2487351584869,0.00252292510421111,22.734582173221,0.00172307680483903
-2.94666666666667,6.56446634535018,0.0846578382130629,6.09613474331791e-06,60.7260411001052,0.00534820117627395,25.1643659857,0.00188231694859194,5.00124501715229,0.000325540327808669,24.0121103941406,0.00200275336476238,19.2799607974394,0.00146124758287418
-2.93333333333333,2.60177818181937,0.587243511087634,4.22868767534502e-05,54.9826488610305,0.0048423750665464,20.4174675072765,0.00152724472208485,3.4990937893578,0.000227762514196798,17.7529009015519,0.00148069792414215,16.11581489677,0.00122143378875959
-2.92,5.13170649054686,2.5258188690371,0.00018188194369094,48.6702940005779,0.00428643986843132,15.7941189299713,0.00118141413802581,2.53155878879618,0.000164783863846943,12.5940630504299,0.0010504200478952,13.3919838556743,0.00101499189985869
-2.90666666666667,15.2358232834096,5.25354085695732,0.00037830274927332,42.1181907055312,0.00370938979378753,11.9026357125816,0.00089032773356737,2.06879352204837,0.000134661613063611,9.46763305231499,0.000789657120537239,11.1862874236324,0.000847819953103312
-2.89333333333333,32.9510176783211,8.11127856422998,0.000584085869800799,35.758333361956,0.00314927100603761,9.3028859827046,0.000695864142415276,1.99880456282743,0.000130105901705813,8.98187662085335,0.000749142134074318,9.52723426524748,0.000722078648801916
-2.88,57.1274954477693,10.5367967915695,0.000758745254546979,30.0439893096017,0.00264600319821104,8.447126735429,0.000631852589889911,2.16571456122402,0.000140970383531083,11.3481537839153,0.000946503776699412,8.41918779517506,0.000638098694531437
-2.86666666666667,85.4885011170167,12.1445062489821,0.000874514965744041,25.3556889551974,0.0022331000512923,9.629893277488,0.000720324578797173,2.41006025834412,0.000156875298820438,16.3743154279343,0.00136571566516612,7.86172706903252,0.00059584818649455
-2.85333333333333,114.892895627891,12.7635644987079,0.000919092793195681,21.9159889114622,0.00193016234142893,12.9528557396451,0.000968885125309948,2.60215328037542,0.000169378990430699,23.5200957236756,0.00196171640380343,7.85768366105645,0.000595541732545101
-2.84,141.76495474386,12.4312827065895,0.000895165480376674,19.7334631972227,0.00173794519075215,18.3095326748624,0.00136956932252044,2.66230193783682,0.000173294178268943,32.0003238777422,0.00266901806078957,8.40832718030288,0.000637275557627932
-2.82666666666667,162.624231111269,11.3481060796488,0.000817166906257352,18.5908682976439,0.00163731575278404,25.3928983108564,0.00189941136969468,2.56558780497022,0.000166998875717449,40.915335849265,0.00341258328391219,9.49833000009466,0.000719887965530665
-2.81333333333333,174.628004942527,9.807939692347,0.000706260910754717,18.0832675362109,0.00159261086275344,33.7263236536822,0.00252275899432947,2.33291230037043,0.000151853594936227,49.3855293812032,0.00411904799350378,11.0763864693346,0.000839490449453873
