wavelength_run,point_label,method,target_x_px,target_y_px,eval_count,elapsed_sec,final_intensity,best_intensity,phase_FWHM_deg,wl_FWHM_deg,phase_FWHM_px,wl_FWHM_px,peak_x_px,peak_y_px,peak_x_deg,peak_y_deg,deviation_x_px,deviation_y_px,deviation_rss_px,deviation_x_deg,deviation_y_deg,deviation_rss_deg,status
20260418_140916_lambda_1553p3nm,point_01_Z10_x92_y144,5pps,92,144,1793,291.0210407,434272,4141,0.192,0.113,4.468,2.63,92,139,3.953,5.973,0,-5,5,-0,-0.215,0.215,ok
20260418_140916_lambda_1553p3nm,point_02_J3_x173_y144,5pps,173,144,1793,314.8514018,440311,3849,0.178,0.277,4.143,6.447,173,142,7.434,6.102,0,-2,2,0,-0.085,0.085,ok
20260418_140916_lambda_1553p3nm,point_03_U3_x197_y144,5pps,197,144,1793,336.2150669,436800,4085,0.167,0.138,3.887,3.212,197,142,8.465,6.102,0,-2,2,0,-0.085,0.085,ok
20260418_140916_lambda_1553p3nm,point_04_U7_x239_y144,5pps,239,144,1793,282.5485472,429408,3717,0.194,0.109,4.515,2.537,239,137,10.27,5.887,0,-7,7,0,-0.301,0.301,ok
20260418_143117_lambda_1554p9nm,point_01_J5_x147_y150,5pps,147,150,1793,319.2808467,422971,3220,0.187,0.204,4.352,4.748,147,145,6.316,6.23,0,-5,5,-0,-0.215,0.215,ok
20260418_143845_lambda_1556p0nm,point_01_U8_x206_y154,5pps,206,154,1793,295.4206964,429235,4002,0.183,0.131,4.259,3.049,204,149,8.766,6.402,-2,-5,5.385,-0.086,-0.215,0.232,ok
20260418_143845_lambda_1556p0nm,point_02_U10_x230_y154,5pps,230,154,1793,328.944809,426103,4027,0.171,0.106,3.98,2.467,229,152,9.84,6.531,-1,-2,2.236,-0.043,-0.086,0.096,ok
20260418_145423_lambda_1556p6nm,point_01_Z4_x81_y156,5pps,81,156,1793,319.9125672,441952,4128,0.174,0.26,4.049,6.051,81,155,3.48,6.66,0,-1,1,-0,-0.043,0.043,ok
20260418_145423_lambda_1556p6nm,point_02_Z5_x95_y156,5pps,95,156,1793,296.9031973,435897,4661,0.191,0.179,4.445,4.166,95,154,4.082,6.617,0,-2,2,-0,-0.086,0.086,ok
20260418_145423_lambda_1556p6nm,point_03_Z6_x109_y156,5pps,109,156,1793,312.3136859,444191,3678,0.188,0.169,4.375,3.933,108,154,4.641,6.617,-1,-2,2.236,-0.043,-0.086,0.096,ok
20260418_145423_lambda_1556p6nm,point_04_Z7_x123_y156,5pps,123,156,1793,305.7611947,436890,3721,0.196,0.09,4.561,2.095,122,154,5.242,6.617,-1,-2,2.236,-0.043,-0.086,0.096,ok
20260418_145423_lambda_1556p6nm,point_05_J4_x163_y156,5pps,163,156,1792,310.5281781,423009,3913,0.195,0.102,4.538,2.374,163,150,7.004,6.445,0,-6,6,0,-0.258,0.258,ok
20260418_152426_lambda_1557p1nm,point_01_U9_x218_y158,5pps,218,158,1793,328.8767962,424899,3985,0.198,0.195,4.608,4.538,218,152,9.367,6.531,0,-6,6,-0,-0.258,0.258,ok
5PPS,point_01_S2_x160_y175,5pps,160,175,1793,302.7037586,630654,11345,0.179,0.145,4.166,3.375,160,173,6.875,7.434,0,-2,2,0,-0.086,0.086,ok
mREV,point_01_S2_x160_y175,mREV,160,175,76159,6070.1224748,640031,11227,0.174,0.308,4.049,7.168,160,173,6.875,7.434,0,-2,2,0,-0.086,0.086,ok
